Type,Name,Address,Grade,District,AGA Division,PS/MC/UC
Travel Agents,A.Y.TRAVEL'S & TOURS,"46 B, 3/1,SYMOND ROAD, MARADANA, COLOMBO 10.",,Colombo,Colombo,Colombo West
Travel Agents,LUXURY TRAVEL LANKA,"UPPER FLOOR 10-1,DUTCH HOSPITAL BUILDING,HOSPITAL STREET,FORT,GALLE",,Galle,Galle,Galle Divisional Secretariat
Travel Agents,FORTUNE LANKA TOURS AND TRAVELS {PVT}LTD,"NO. 623, 3/1, GALLE ROAD, MOUNT LAVINIA",,Colombo,Dehiwala-Mount Lavinia,Colombo Divisional Secretariat
Travel Agents,MIDLAND TRAVELS (PVT) LTD,"2ND FLOOR,NO.14, 16TH LANE, COLOMBO 03.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,KARA TRAVELS & TOURS{PVT}LTD,"6.R.A.DE MEL MAWATHA,COLOMBO 04",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,SIDDIQUE TRAVELS & TOURS,"NO.94,MANNAR ROAD,PUTTALAM.",,Puttalam,Puttalam Pradeshiya Sabha,Puttalam Divisional Secretariat
Travel Agents,EMIRATES TRAVELS AND TOURS (PVT) LTD,"18,DE SILVA PLACE,RATMALANA.",,Colombo,Dehiwala-Mount Lavinia,Colombo Divisional Secretariat
Travel Agents,HAMAS HAJJ TRAVELS,"NO 655/1B,AVISSAWELLA ROAD,WELLAMPITIYA",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,ELEPHANTLAND INTERNATIONAL TRAVELS{PVT}LTD,"NO. 27/14A, ROSMEAD PLACE, COLOMBO 07",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,AYURVA TRAVELLER (PVT) LTD,"NO.275,2ND FLOOR,NAWALA ROAD,NAWALA.",,Colombo,Kotte Muncipal Council,Colombo Divisional Secretariat
Travel Agents,SAFARI LANKA TOURS-COLOMBO 06,NO 01 PERERA LANE WELLAWATTA COLOMBO 06,,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,BEST HOLIDAYS (PVT)LTD,141/7C (SECOND FLOOR) VAUXSHALL STREET COLOMBO 02,,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,VACATION PLANNERS (PVT) LTD,"NO.351/1,R. A. DE MEL MAWATHA, COLOMBO 03, SRI LANKA.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,CEYLON BEACH TRAVELS.,"19/3, PIERIS ROAD, MOUNT LAVINIA.",,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat
Travel Agents,LUCKY LIFE TRAVELS & TOURS (PVT) LTD.,"NO. 56/1, GALLE ROAD, DEHIWALA",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,HAWK TRAVELS (PVT) LTD,"20 1/2,REGENT FLATS, COLOMBO 02.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,MANGO HOLIDAYS (PVT) LTD,"125/21, PETERSON LANE, COLOMBO 6.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,ACTION LANKA.COM (PVT) LTD,"NO 366/3 RENDAPOLA,HORAGAHAKANDA LANE,THALANGAMA NORTH KOSWATTE.",,Colombo,Kotte Muncipal Council,Battaramulla
Travel Agents,DELAIR TRAVELS (PVT)LTD,"101,VINAYALANKARA MAWATHA COLOMBO 10",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,JIL TOUR LIMITED,"104,BANKSHALL STREET,COLOMBO 11.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,RESPONSIBLE TRAVEL (PVT) LTD,"40E,NATIONAL HOUSING SCHEME,KIRIBATHGODA,KELANIYA.",,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat
Travel Agents,FAR HOLIDAYS (PVT) LTD,"NO. 124, PARK ROAD, COLOMBO 05",,Colombo,Kotte Muncipal Council,Nugegoda Divisional Secretariat
Travel Agents,I CEYLON LIFESTYLE (PRIVATE) LIMITED,"202 A,SIR JAMES PEIRIS MAWATHA, COLOMBO 2.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,PEARL LANKA TOURS,"330/A,20TH MILE POST,KURANA,KATUNAYAKE.",,Gampaha,Seeduwa,Katana Divisional Secretariat
Travel Agents,TRAVELWIND HOLIDAYS (PVT) LTD,"272 F,DEHIWALA-MAHARAGAMA ROAD,BELLANWILA, BORALASGAMUWA.",,Colombo,Dehiwala-Mount Lavinia,Kesbewa Divisional Secretariat
Travel Agents,SAVINTA LEISURE (PVT) LTD,"NO.395, GALLE ROAD, COLOMBO 03, SRI LANKA.",,Colombo,Colombo,Colombo Divisional Secretariat
Travel Agents,ARALIYA HOLIDAYS (PVT) LTD,"ARALIYA GROUP CO-OPERATE OFFICE,NO.01-07,1ST FLOOR,LIBERTY PLAZA,CLOMBO 03.",,Colombo,Colombo,Colombo Divisional Secretariat
